layer,module,nbit1,gsize1,nbit2,gsize2,fnorm,memmb,params,kurtosis,kurtosis_scaled,sensitivity
2,self_attn.k_proj,3,32,8,128,19.84375,7.015625,16777216,5.422568329046552,0.054401077663606495,9.743419468577486e-6
2,self_attn.k_proj,3,64,8,128,23.703125,6.5078125,16777216,5.422568329046552,0.054401077663606495,1.6642638001940213e-5
2,self_attn.k_proj,3,128,8,128,29.390625,6.25390625,16777216,5.422568329046552,0.054401077663606495,1.8451939467922784e-5
2,self_attn.k_proj,4,32,8,128,9.265625,9.015625,16777216,5.422568329046552,0.054401077663606495,2.906428790083737e-6
2,self_attn.k_proj,4,64,8,128,11.078125,8.5078125,16777216,5.422568329046552,0.054401077663606495,4.232647825119784e-6
2,self_attn.k_proj,4,128,8,128,13.828125,8.25390625,16777216,5.422568329046552,0.054401077663606495,5.587065970757976e-6
2,self_attn.k_proj,8,32,8,128,0.56103515625,17.015625,16777216,5.422568329046552,0.054401077663606495,8.557089259397799e-9
2,self_attn.k_proj,8,64,8,128,0.669921875,16.5078125,16777216,5.422568329046552,0.054401077663606495,1.1800739052603149e-8
2,self_attn.k_proj,8,128,8,128,0.83349609375,16.25390625,16777216,5.422568329046552,0.054401077663606495,1.4833548611647984e-8
2,self_attn.o_proj,2,32,8,128,21.28125,5.015625,16777216,7.172113174858918,0.10383651158253793,2.8767552066710778e-5
2,self_attn.o_proj,2,64,8,128,24.921875,4.5078125,16777216,7.172113174858918,0.10383651158253793,3.9957158151082695e-5
2,self_attn.o_proj,2,128,8,128,28.3125,4.25390625,16777216,7.172113174858918,0.10383651158253793,5.27524680364877e-5
2,self_attn.o_proj,3,32,8,128,9.140625,7.015625,16777216,7.172113174858918,0.10383651158253793,5.388124918681569e-6
2,self_attn.o_proj,3,64,8,128,10.75,6.5078125,16777216,7.172113174858918,0.10383651158253793,7.601624929520767e-6
2,self_attn.o_proj,3,128,8,128,12.3046875,6.25390625,16777216,7.172113174858918,0.10383651158253793,1.0367852155468428e-5
2,self_attn.o_proj,4,32,8,128,4.26953125,9.015625,16777216,7.172113174858918,0.10383651158253793,1.1729770221791114e-6
2,self_attn.o_proj,4,64,8,128,5.02734375,8.5078125,16777216,7.172113174858918,0.10383651158253793,1.6720242683732067e-6
2,self_attn.o_proj,4,128,8,128,5.76953125,8.25390625,16777216,7.172113174858918,0.10383651158253793,2.3047618924465496e-6
2,self_attn.o_proj,8,32,8,128,0.25830078125,17.015625,16777216,7.172113174858918,0.10383651158253793,4.3208330247068716e-9
2,self_attn.o_proj,8,64,8,128,0.303955078125,16.5078125,16777216,7.172113174858918,0.10383651158253793,6.154546206005307e-9
2,self_attn.o_proj,8,128,8,128,0.34765625,16.25390625,16777216,7.172113174858918,0.10383651158253793,8.383088889729606e-9
2,mlp.gate_proj,2,32,8,128,46.625,13.4794921875,45088768,3.252795019767423,0.018841297414613867,7.937689224490896e-5
2,mlp.gate_proj,2,64,8,128,54.34375,12.11474609375,45088768,3.252795019767423,0.018841297414613867,1.0809647210408e-4
2,mlp.gate_proj,2,128,8,128,61.34375,11.432373046875,45088768,3.252795019767423,0.018841297414613867,1.3839539315085e-4
