model,algo,config,bpp,attempt,ppl_wikitext,ppl_c4,load_mem_allot,model_storage_size,quant_duration,param_count
Llama-2-13b-hf,mxq,4_51,4.51,kurt-abl-3-2,4.6892,6.5107,7.6,7.57,37.55441045761109,13000000000
Meta-Llama-3-8B,mxq,4_25,4.25,kurt-abl-3-2,6.1896,9.5976,5.49,5.49,25.54007697105408,8000000000
Meta-Llama-3-8B,mxq,3_13,3.13,kurt-abl-3-2,9.2307,14.7845,4.73,4.72,29.48112177848816,8000000000
Llama-2-13b-hf,mxq,3_51,3.51,kurt-abl-3-2,4.8769,6.768,,,44.11219835281372,13000000000
Llama-2-7b-hf,mxq,3_13,3.13,kurt-abl-3-2,6.1465,8.3322,3.14,3.07,23.148374795913696,7000000000
Meta-Llama-3-8B,mxq,4_13,4.13,kurt-abl-3-2,6.3762,9.9228,5.39,5.39,30.580143928527832,8000000000
Llama-2-13b-hf,mxq,4_13,4.13,kurt-abl-3-3,4.733,6.5599,7.18,7.14,40.02935409545898,13000000000
Meta-Llama-3-8B,mxq,3_51,3.51,kurt-abl-3-3,7.0642,11.110900000000001,5.65,5.62,24.40159749984741,8000000000
Llama-2-13b-hf,mxq,3_25,3.25,kurt-abl-3-3,4.9658,6.9051,6.28,6.21,44.07460284233093,13000000000
Llama-2-13b-hf,mxq,3_13,3.13,kurt-abl-3-3,5.1082,7.0839,5.75,5.68,44.94921541213989,13000000000
Meta-Llama-3-8B,mxq,4_51,4.51,kurt-abl-3-3,6.0726,9.4114,5.75,5.72,27.64519166946411,8000000000
Llama-2-7b-hf,mxq,3_51,3.51,kurt-abl-3-3,5.5866,7.5102,3.93,3.89,21.532826900482178,7000000000
Llama-2-7b-hf,mxq,4_13,4.13,kurt-abl-3-3,5.338,7.1485,3.91,3.86,21.143397331237797,7000000000
Meta-Llama-3-8B,mxq,3_25,3.25,kurt-abl-3-3,7.7447,12.2711,5.03,5.02,26.8079092502594,8000000000
Llama-2-13b-hf,mxq,4_25,4.25,kurt-abl-3-3,4.6952,6.5335,7.43,7.33,40.29440212249756,13000000000
Llama-2-7b-hf,mxq,4_51,4.51,kurt-abl-3-3,5.2795,7.069,4.2,4.15,18.642559051513672,7000000000
Llama-2-7b-hf,mxq,4_25,4.25,kurt-abl-3-3,5.3024,7.1087,4.01,3.96,19.89151883125305,7000000000
Llama-2-7b-hf,mxq,3_25,3.25,kurt-abl-3-3,5.7817,7.7435,3.36,3.35,22.219534635543823,7000000000
Llama-2-13b-hf,mxq,4_51,4.51,kurt-abl-3-3,4.6868,6.51,7.74,7.7,37.43238043785095,13000000000
Meta-Llama-3-8B,mxq,4_25,4.25,kurt-abl-3-3,6.1908,9.5995,5.52,5.52,25.39488220214844,8000000000
Meta-Llama-3-8B,mxq,3_13,3.13,kurt-abl-3-3,9.2373,14.7175,4.73,4.72,29.90310430526733,8000000000
Llama-2-13b-hf,mxq,3_51,3.51,kurt-abl-3-3,4.871,6.7588,7.3,7.27,43.37693309783936,13000000000
Llama-2-7b-hf,mxq,3_13,3.13,kurt-abl-3-3,6.1296,8.2963,3.15,3.08,23.23827052116394,7000000000
Meta-Llama-3-8B,mxq,4_13,4.13,kurt-abl-3-3,6.3682,9.9113,5.41,5.41,30.82605504989624,8000000000
Llama-2-13b-hf,mxq,4_13,4.13,kurt-boost-2-0,4.7245,6.565,6.78,6.75,40.04246377944946,13000000000
